"show_id","type","title","country","date_added","release_year","rating","duration","listed_in","description"
"s56","TV Show","Nailed It","United States","2021-09-15 00:00:00","2021","TV-PG","6 Seasons","Reality TV","Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess."
"s57","Movie","Naruto Shippuden the Movie: Blood Prison","Japan","2021-09-15 00:00:00","2011","TV-14","102 min","Action & Adventure, Anime Features, International Movies","Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."
"s58","Movie","Naruto ShippÃ»den the Movie: Bonds","Japan","2021-09-15 00:00:00","2008","TV-PG","93 min","Action & Adventure, Anime Features, International Movies","When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."
"s59","Movie","Naruto ShippÃ»den the Movie: The Will of Fire","Japan","2021-09-15 00:00:00","2009","TV-PG","96 min","Action & Adventure, Anime Features, International Movies","When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
"s60","Movie","Naruto Shippuden: The Movie","Japan","2021-09-15 00:00:00","2007","TV-PG","95 min","Action & Adventure, Anime Features, International Movies","The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon â€“ but to do so, he must die."
"s61","Movie","Naruto Shippuden: The Movie: The Lost Tower","Japan","2021-09-15 00:00:00","2010","TV-14","85 min","Action & Adventure, Anime Features, International Movies","When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
"s62","Movie","Naruto the Movie 2: Legend of the Stone of Gelel","Japan","2021-09-15 00:00:00","2005","TV-PG","97 min","Action & Adventure, Anime Features, International Movies","While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
"s63","Movie","Naruto the Movie 3: Guardians of the Crescent Moon Kingdom","Japan","2021-09-15 00:00:00","2006","TV-PG","95 min","Action & Adventure, Anime Features, International Movies","Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
"s64","Movie","Naruto the Movie: Ninja Clash in the Land of Snow","Japan","2021-09-15 00:00:00","2004","TV-PG","83 min","Action & Adventure, Anime Features, International Movies","Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
"s65","Movie","Nightbooks","null","2021-09-15 00:00:00","2021","TV-PG","103 min","Children & Family Movies","Scary story fan Alex must tell a spine-tingling tale every night â€” or stay trapped with his new friend in a wicked witch's magical apartment forever."
"s66","TV Show","Numberblocks","United Kingdom","2021-09-15 00:00:00","2021","TV-Y","6 Seasons","Kids' TV","In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together."
"s67","TV Show","Raja Rasoi Aur Anya Kahaniyan","India","2021-09-15 00:00:00","2014","TV-G","1 Season","Docuseries, International TV Shows","Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat."
"s68","TV Show","Saved by the Bell","United States","2021-09-15 00:00:00","1994","TV-PG","9 Seasons","Kids' TV, TV Comedies","From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series."
"s69","Movie","Schumacher","null","2021-09-15 00:00:00","2021","TV-14","113 min","Documentaries, International Movies, Sports Movies","Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
"s70","TV Show","Stories by Rabindranath Tagore","India","2021-09-15 00:00:00","2015","TV-PG","1 Season","International TV Shows, TV Dramas","The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal."
"s71","TV Show","Too Hot To Handle: Latino","null","2021-09-15 00:00:00","2021","TV-MA","1 Season","International TV Shows, Reality TV, Romantic TV Shows","On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000."
"s72","Movie","A StoryBots Space Adventure","null","2021-09-14 00:00:00","2021","TV-Y","13 min","Children & Family Movies","Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space."
"s73","TV Show","Jack Whitehall: Travels with My Father","United Kingdom","2021-09-14 00:00:00","2021","TV-MA","5 Seasons","British TV Shows, Docuseries, International TV Shows","Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond."
"s74","Movie","King of Boys","Nigeria","2021-09-14 00:00:00","2018","TV-MA","182 min","Dramas, International Movies","When a powerful businesswomanâ€™s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
"s75","TV Show","The World's Most Amazing Vacation Rentals","null","2021-09-14 00:00:00","2021","TV-PG","2 Seasons","Reality TV","With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series."
"s76","Movie","You vs. Wild: Out Cold","null","2021-09-14 00:00:00","2021","TV-G","106 min","Children & Family Movies","After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure."
"s77","TV Show","Yowamushi Pedal","Japan","2021-09-14 00:00:00","2013","TV-14","1 Season","Anime Series, International TV Shows","A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent."
"s78","Movie","Little Singham - Black Shadow","null","2021-09-11 00:00:00","2021","TV-Y7","48 min","Children & Family Movies, Comedies","Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaalâ€™s new evil plans! Can his inner strength help him defeat the enemy?"
"s79","Movie","Tughlaq Durbar","null","2021-09-11 00:00:00","2020","TV-14","145 min","Comedies, Dramas, International Movies","A budding politician has devious plans to rise in the ranks â€” until an unexpected new presence begins to interfere with his every crooked move."
"s80","Movie","Tughlaq Durbar (Telugu)","null","2021-09-11 00:00:00","2021","TV-14","145 min","Comedies, Dramas, International Movies","A budding politician has devious plans to rise in the ranks â€” until an unexpected new presence begins to interfere with his every crooked move."
"s81","Movie","Firedrake the Silver Dragon","null","2021-09-10 00:00:00","2021","TV-Y7","93 min","Children & Family Movies","When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free."
"s82","Movie","Kate","United States","2021-09-10 00:00:00","2021","R","106 min","Action & Adventure","Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
"s83","TV Show","Lucifer","United States","2021-09-10 00:00:00","2021","TV-14","6 Seasons","Crime TV Shows, TV Comedies, TV Dramas","Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective."
"s84","TV Show","Metal Shop Masters","null","2021-09-10 00:00:00","2021","TV-MA","1 Season","Reality TV","On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize."
"s85","Movie","Omo Ghetto: the Saga","Nigeria","2021-09-10 00:00:00","2020","TV-MA","147 min","Action & Adventure, Comedies, Dramas","Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them."
"s86","TV Show","PokÃ©mon Master Journeys: The Series","null","2021-09-10 00:00:00","2021","TV-Y7","1 Season","Anime Series, Kids' TV","As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every PokÃ©mon. Together, they're on a journey to adventure!"
"s87","Movie","Prey","null","2021-09-10 00:00:00","2021","TV-MA","87 min","International Movies, Thrillers","A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter."
"s88","TV Show","Titipo Titipo","null","2021-09-10 00:00:00","2019","TV-Y","2 Seasons","Kids' TV, Korean TV Shows","Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably."
"s89","Movie","Blood Brothers: Malcolm X & Muhammad Ali","null","2021-09-09 00:00:00","2021","PG-13","96 min","Documentaries, Sports Movies","From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals."
"s90","TV Show","Mighty Raju","null","2021-09-09 00:00:00","2017","TV-Y7","4 Seasons","Kids' TV","Born with superhuman abilities, young Raju wants to use his powers to make the world a better place â€” but that will mean facing plenty of challenges!"
"s91","Movie","Paradise Hills","Spain, United States","2021-09-09 00:00:00","2019","TV-MA","95 min","Sci-Fi & Fantasy, Thrillers","Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. Thatâ€™s bad enough, but its real purpose is even worse."
"s92","Movie","The Women and the Murderer","France","2021-09-09 00:00:00","2021","TV-14","92 min","Documentaries, International Movies","This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother."
"s93","TV Show","Into the Night","Belgium","2021-09-08 00:00:00","2021","TV-MA","2 Seasons","International TV Shows, TV Dramas, TV Mysteries","Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below."
"s94","Movie","JJ+E","null","2021-09-08 00:00:00","2021","TV-MA","91 min","Dramas, International Movies, Romantic Movies","Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?"
"s95","Movie","Show Dogs","United Kingdom, United States","2021-09-08 00:00:00","2018","PG","90 min","Children & Family Movies, Comedies","A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale."
"s96","TV Show","The Circle","United States, United Kingdom","2021-09-08 00:00:00","2021","TV-MA","3 Seasons","Reality TV","Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000."
"s97","Movie","If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd","United States","2021-09-07 00:00:00","2018","TV-MA","97 min","Documentaries, Music & Musicals","Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant."
"s98","TV Show","Kid Cosmic","United States","2021-09-07 00:00:00","2021","TV-Y7","2 Seasons","Kids' TV, TV Comedies, TV Sci-Fi & Fantasy","A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined â€” and he can't do it alone."
"s99","TV Show","Octonauts: Above & Beyond","United Kingdom","2021-09-07 00:00:00","2021","TV-Y","1 Season","British TV Shows, Kids' TV","The Octonauts expand their exploration beyond the sea â€”Â and onto land! With new rides and new friends, they'll protect any habitats and animals at risk."
"s100","TV Show","On the Verge","France, United States","2021-09-07 00:00:00","2021","TV-MA","1 Season","TV Comedies, TV Dramas","Four women â€” a chef, a single mom, an heiress and a job seeker â€” dig into love and work, with a generous side of midlife crises, in pre-pandemic LA."
"s101","TV Show","Tobot Galaxy Detectives","null","2021-09-07 00:00:00","2019","TV-Y7","2 Seasons","Kids' TV","An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil."
"s102","Movie","Untold: Breaking Point","United States","2021-09-07 00:00:00","2021","TV-MA","80 min","Documentaries, Sports Movies","Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court."
"s103","TV Show","Countdown: Inspiration4 Mission to Space","null","2021-09-06 00:00:00","2021","TV-14","1 Season","Docuseries, Science & Nature TV","From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission."
"s104","Movie","Shadow Parties","null","2021-09-06 00:00:00","2020","TV-MA","117 min","Dramas, International Movies, Thrillers","A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals."
"s105","TV Show","Tayo the Little Bus","South Korea","2021-09-06 00:00:00","2016","TV-Y","2 Seasons","Kids' TV, Korean TV Shows","As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day."
"s106","Movie","Angamaly Diaries","India","2021-09-05 00:00:00","2017","TV-14","128 min","Action & Adventure, Comedies, Dramas","After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
"s107","TV Show","Bunk'd","United States","2021-09-05 00:00:00","2021","TV-G","5 Seasons","Kids' TV, TV Comedies","The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met."
"s108","Movie","A Champion Heart","United States","2021-09-04 00:00:00","2018","G","90 min","Children & Family Movies, Dramas","When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
"s109","TV Show","Dive Club","Australia","2021-09-03 00:00:00","2021","TV-G","1 Season","Kids' TV, TV Dramas, Teen TV Shows","On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing."
"s110","TV Show","La casa de papel","Spain","2021-09-03 00:00:00","2021","TV-MA","5 Seasons","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan."
"s111","TV Show","Money Heist: From Tokyo to Berlin","null","2021-09-03 00:00:00","2021","TV-MA","1 Season","Docuseries, International TV Shows, Spanish-Language TV Shows","The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series."
"s112","TV Show","Sharkdog","United States, Singapore","2021-09-03 00:00:00","2021","TV-Y","1 Season","Kids' TV","Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure."
"s113","Movie","Worth","null","2021-09-03 00:00:00","2021","PG-13","119 min","Dramas","In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events."
"s114","Movie","Afterlife of the Party","null","2021-09-02 00:00:00","2021","TV-PG","110 min","Comedies, Romantic Movies","Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings."
"s115","Movie","Anjaam","India","2021-09-02 00:00:00","1994","TV-14","143 min","Dramas, International Movies, Thrillers","A wealthy industrialistâ€™s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
"s116","Movie","Bright Star","United Kingdom, Australia, France","2021-09-02 00:00:00","2009","PG","119 min","Dramas, Romantic Movies","This drama details the passionate three-year romance between Romantic poet John Keats â€“ who died tragically at age 25 â€“ and his great love and muse."
"s117","Movie","Dhanak","India","2021-09-02 00:00:00","2015","TV-PG","114 min","Comedies, Dramas, Independent Movies","A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation."
